Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Making Recruiters Come to You with J.T. O'Donnell,"<p>Learn what recruiters look for, and how to help them find you. J.T. O'Donnell is a LinkedIn Top Voice and an expert on the modern job search and recruiting. She helps job seekers make the most of their time by teaching them to attract recruiters, instead of applying endlessly to online applications. In this course, she’ll help you master using LinkedIn, understand the role of your resume and cover letters in the job search process, and uncover the best ways to connect and follow up with a recruiter.</p>",Course,N/A,N/A,true,N/A,
"The Data Science of Healthcare, Medicine, and Public Health","Data analytics plays an increasingly pivotal role in how we go about managing our healthcare systems and personal health. This nontechnical course explores a variety of ways to apply data science to medicine and public health. Data scientist Barton Poulson discusses the ways that dramatically increased quantities of data—from genetic testing, genealogy, brain scans, and other sources—are changing the theory and practice of healthcare. As he looks over key data sources, Barton explores the different methods for analyzing this wealth of data, including machine learning and predictive modeling. He also details the extraordinary effect of the COVID-19 pandemic on the ways data is used in healthcare, and details how data science has changed the areas of patient care, self-care, and medical insurance. Barton also looks at some challenges the increased use of data presents, from ethical questions to logistical implementations, and how data science can help identify unanticipated problems.",Course,2025-02-27 09:20 UTC,N/A,true,N/A,
Stratégies de leadership pour les femmes,"De nombreuses sources décrivent les difficultés auxquelles les femmes sont confrontées pour atteindre le tiers supérieur des entreprises actuelles. Pour créer un environnement d’« excellence inclusive » dans lequel femmes et hommes peuvent s’épanouir, des compétences et une stratégie adaptées sont nécessaires. Cette formation s’adresse à tous ceux qui souhaitent développer une culture plus équitable et collaborative au sein de leur entreprise. Daisy L. Lovelace et Carolyn Goerner parlent des difficultés courantes auxquelles les femmes qui occupent des postes de direction sont confrontées et proposent des stratégies pour les surmonter. Elles donnent également des conseils pour défendre le leadership des femmes et devenir un bon allié.",Course,2024-06-25 15:04 UTC,N/A,false,N/A,
The Three Pillars of Effective Communication,"Effective communication starts with presence. Strong presence builds trust. A lack of presence erodes it. But what is presence, really? In this Knowable audio course, Ximena Vengoechea, author of Listen Like You Mean It: Reclaiming the Lost Art of True Connection, teaches you to become a more confident, trustworthy, and successful communicator by unlocking the three key skills of conversational presence: self-awareness, trust, and patience. Ximena shows you how to take control of your emotions through the process known as “labeling,” regulate your physical self by running a “body scan,” avoid distractions caused by unnecessary detail-orientation, and build greater rapport with others by saying less.
<br><br>Note: This course was created by Knowable. We are pleased to host this training in our library.",Course,N/A,N/A,true,N/A,
L'anglais des affaires : Grammaire et vocabulaire pour les réunions (en anglais),"Vous souhaitez vous présenter avec assurance en anglais lors de réunions et communiquer avec aisance ? Alors suivez ce cours ! Toutes les étapes clés y seront abordées, de la phase de préparation à la phase de clôture de la réunion. Tom Winters vous partagera du vocabulaire et des expressions qui vous permettront de faire preuve de professionnalisme et de vous exprimer avec clarté et précision ! Vous verrez ensuite comment les employer en contexte, grâce à des exemples concrets. Enfin, vous aurez l’occasion de réviser les termes appris grâce à des exercices de répétition. </br></br> Cette formation a été créée par Speexx. Nous sommes ravis d'héberger ce contenu sur notre plateforme.",Course,2024-07-11 22:19 UTC,N/A,false,N/A,
Excel : Les fonctions RECHERCHEX et EQUIVX (Microsoft 365),"Si vous utilisez Excel et Microsoft 365, cette formation est pour vous. Martial Auroy, intervenant pour FMP Formation14 et spécialiste en outils de bureautique, vous explique comment utiliser la puissance de RECHERCHEX et d'EQUIVX pour exploiter vos listes de données. Vous allez découvrir les paramètres de ces fonctions pour optimiser vos classeurs et les rendre plus performants. Vous allez aborder des exemples de solutions, aller plus loin vers la maîtrise d'Excel et trouver ce que vous recherchiez, plus simplement.",Course,2024-07-17 07:24 UTC,N/A,false,N/A,
Découvrir Power BI avec ChatGPT,"Benjamin Ejzenberg vous propose, dans cette formation, de maîtriser Power BI, la solution d'analyse de données de Microsoft, en le combinant avec ChatGPT, l'agent conversationnel d'OpenAI. Vous comprendrez comment utiliser ces outils conjointement, en suivant les étapes d'un projet Power BI. Vous découvrirez comment importer, transformer et profiler les données. Puis, vous apprendrez à les modéliser, à créer des visualisations pertinentes, et à obtenir des conseils pour améliorer vos compétences en data visualisation. Et vous pourrez même simuler des entretiens d'embauche avec ChatGPT !",Course,2024-08-18 16:16 UTC,N/A,false,N/A,
Excel : Les tableaux croisés dynamiques - Astuces rapides,"Martial Auroy, formateur spécialisé Microsoft Office 365, vous guide dans la création d’un outil puissant d’Excel : le tableau croisé dynamique. Le TCD vous permet de synthétiser des données, de mettre en évidence des tendances ou encore de créer des rapports de données rapides et précieux, et cela en quelques minutes seulement. Il peut également être très utile comme support pour partager des informations lors d’une réunion. Dans ce cours, vous découvrirez les différentes étapes ainsi que des astuces pour créer rapidement un tableau croisé dynamique de qualité.",Course,2023-03-15 09:32 UTC,N/A,false,N/A,
Synthétiser son discours à l'écrit comme à l'oral,"Vous a-t-on déjà reproché de trop en dire ou de vous perdre dans les détails ? Vous sentez-vous bien plus à l'aise dans l'analyse que dans la synthèse ? Si vos réponses sont affirmatives, cette formation est pour vous. Afin de faire face à ces difficultés, notamment en situation professionnelle, Nicolas Bonnefoix, expert en communication et auteur, vous donne les clés pour révéler un autre portrait de vous-même. Vous allez adopter des outils efficaces pour vous exprimer de façon claire, précise et concise. Ainsi, vous serez en mesure de structurer votre discours pour aller « droit au but » autant à l'écrit qu'à l'oral.",Course,2024-12-12 22:43 UTC,N/A,false,N/A,
Excel : Formules et fonctions avancées  - Astuces rapides (Microsoft 365),"Utiliser Excel et ses fonctions intégrées peut paraître compliqué et long et vous ne savez pas toujours par où commencer. Dans ce cours, partez à la découverte d’Excel avec Martial Auroy, formateur spécialisé Microsoft 365 pour FMP Formation14. Il vous présentera les bases d’Excel mais également les fonctions et les formules avancées principales. Grâce à des exemples simples et rapides, vous verrez comment gagner en efficacité dans Excel. Martial Auroy vous donnera également des astuces précieuses pour aller plus loin.",Course,2023-02-17 08:09 UTC,N/A,false,N/A,
Speaking Confidently and Effectively,"The ability to present yourself and communicate well is crucial in any work environment. In this course, adapted from the podcast <i>How to Be Awesome at Your Job</i>, learn how to build on your presentation skills to gain a competitive advantage in your career. Professional speaker Diane DiResta shares tips and tricks for leveling up your presentations and boosting your executive presence. Learn how to craft your presentations around what’s important to the audience to ensure that you're only sharing the most impactful information. Discover how to shift your focus away from yourself to conquer your fear of speaking. Plus, get strategies for ensuring that your body, tone, and words are giving off one consistent message; planning for your worst-case scenario and establishing recovery strategies; handling tough questions; and more.<br><br>This course was created by Pete Mockaitis of <i><a href=""https://awesomeatyourjob.com/"" target=""_blank"">How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%""/>",Course,N/A,N/A,true,N/A,
Organizational Learning and Development,"<p>If you want to attract and retain top talent, you need to provide results-driven opportunities for your employees to learn and grow. Learning and development (L&D) programs have become a critical talent management tool for many organizations, helping leaders, managers, and recruiters build their talent pipelines by curating the conditions for learning success.</p><p>In this course, industry leader and skills strategist Gina Jeneroux shows you how to take a more disciplined view of learning measurement at your organization to meet the learning needs of today’s ever-changing workplace. Learn how to manage the business of learning by adopting the perspective of a strategic enabler, upskilling your employees for today and tomorrow, following best practices for effective learning, and developing your technology and data ecosystem more deliberately using the power of the SkillsEngine.</p>",Course,2025-09-25 17:21 UTC,N/A,false,N/A,
Marketing Communications,"In today's media landscape, consumers decide how and when they want to receive information. As a result, it's crucial for marketers to have a robust understanding of how to design and execute a marketing plan that resonates with audiences—as well as how to measure the results. In this course, learn how to chart your own marketing roadmap. Join marketing expert Deirdre Breakenridge as she explains how to research your marketing communication needs, craft a marketing plan that helps you connect with your audience, and leverage PR, social media, and email marketing strategies. Plus, she discusses how to launch your campaign, and track your program through a measurement dashboard.",Course,N/A,N/A,true,N/A,
Illustrator 2025 Essential Training,"<p>Illustrator can be used to accomplish many different design tasks. For this reason, <i>Illustrator Essential Training</i> teaches core concepts and techniques that can be applied to any workflow for print, the web, or assets that will find their way into other applications. In this course, Tony Harmer explains the elements that make up Illustrator documents, including artboards, basic shapes, and more. Tony discusses vector graphics—paths, strokes, and fills—and shows how to use each of the drawing tools within Illustrator. He demonstrates how to transform, combine and clean up paths, as well as organizing elements into groups and layers. Tony also covers text editing, working with color, expressive brush drawing, effects, and much more. Exercise files accompany this course. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/essential-skills-in-adobe-illustrator-2025-professional-certificate"" target=""_blank"">Professional Certificate</a> from Adobe.</p>",Course,2025-10-03 14:55 UTC,N/A,false,N/A,
Elearning Tips,"Are you a learning professional looking to improve your development process and create better elearning? Elearning designer and author Tim Slade offers quick tips that can be immediately applied to your design process. Find out how to draft preliminary storyboards to explore your ideas, develop prototypes to test your functionality and visualize your look and feel, design more engaging and visually interesting courses, and add interactivity that gives learners a chance to practice and validate their skills.  These tips are designed to be used by all elearning creators, regardless of the platform you create content on. Focus on the techniques that interest you, or use them in combination to save time and build a better end product for your learners.",Course,N/A,N/A,true,N/A,
Establishing Your Leadership Brand,"As a leader, it’s easy to forget to dedicate time to something like your brand with everything else going on.  In this course, leadership and training coach Audrey Daniels gives you the supplies needed to bring your leadership brand and personality sparkle back to life. Audrey focuses on what makes you tick and helps you define your expertise to help you succeed professionally and personally. She shows you how to rebuild your confidence and use self-doubt to your advantage. She also provides key strategies you can use to build your leadership brand. Knowing your leadership brand will help you positively engage with an audience and stand out as a servant leader to a team. Learn how to network, share your methods with other leaders, and even explore the importance of self-evaluation. Join Audrey in this course to learn more about the components of your leadership brand and how to apply them for long-term success.
<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2025-03-27 20:34 UTC,N/A,false,N/A,
Making Messages Memorable,"In today's digital-first world, clear and impactful communication is essential. In this course, Karin Reed shares her expertise in crafting and delivering messages that stand out. Karin shares how to define your message's purpose, simplify content, and connect emotionally with your audience. Discover effective storytelling techniques for truly memorable content. After completing this course, you'll have the tools to leave a lasting impression and craft messages that stick.",Course,2025-02-27 09:53 UTC,2025-02-27 09:51 UTC,true,N/A,
Sustainability Strategies,"A changing climate compels us to change the way we do business. Incorporating sustainability into your business can help your bottom line and build your company's brand. This course shows how to adopt smart sustainability practices to drive financial performance, attract and retain employees, and protect your company's license to operate. David Bennell outlines how to establish your reputation as a company focused on sustainability, manage supply chains more responsibly and effectively, create sustainable products and services, and reduce energy use, waste, toxic substances, and emissions. Last, he helps you figure out how to track key metrics, assess your company's carbon footprint, and improve your environmental, social, and governance (ESG) practices.",Course,N/A,N/A,true,N/A,
Visual Studio : L'intégration du contrôle de source avec Git,"Que vous soyez développeur ou utilisateur de Git, débutant comme expérimenté, suivez cette formation sur son intégration dans Visual Studio 2022, la dernière version de la boîte à outils de développement de Microsoft. Après avoir procédé, avec votre formatrice Nina Kapinga, aux configurations et aux authentifications, vous mettrez en place un workflow Git, que vous apprendrez, au fur et à mesure de la formation, à automatiser. Vous aborderez également la gestion des référentiels et, bien entendu, la configuration des préférences Git et Visual Studio.",Course,2024-11-22 10:05 UTC,N/A,false,N/A,
10 astuces nano pour décupler ta productivité sur Excel,"Dans cette courte et très dynamique formation de Jean-Baptiste Caverne, vous découvrirez dix astuces qui vous faciliteront la vie avec Excel, l'incontournable tableur de Microsoft. Ainsi, vous verrez comment répartir des données d'une colonne en deux colonnes, comment supprimer des lignes vides aisément, comment exploiter la fonction RECHERCHEX et la fonction SEQUENCE, comment répéter les données et effectuer un remplissage automatique, ou encore tirer parti de la mise en forme conditionnelle, des tableaux et graphiques croisés dynamiques ou filtrer des données en insérant un segment.</br></br>

Cette formation a été créée par Jean-Baptiste Caverne. Nous sommes ravis d'héberger ce contenu sur notre plateforme.",Course,2023-12-15 11:31 UTC,N/A,false,N/A,
Automate Your Workflows with Generative AI,"Does your workflow need a boost? Generative AI not only automates tasks but also enhances decision-making and efficiency. In this course, workflow consultant Tamera Franklin guides you through the essentials of integrating AI into your business processes. Learn to leverage generative AI capabilities and train it for your specific needs. After this course, you'll be ready to use AI to transform your daily operations and enhance your productivity.",Course,N/A,N/A,true,N/A,
Nano Tips for Negotiating Your Salary with Sho Dewan,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover the secrets to navigating a successful salary negotiation, with key insights from Sho Dewan, the CEO and founder of Workhap and a LinkedIn Top Voice in Job Search and Careers.</p><p>Learn the essentials of talking about salary so you know what to say when it counts. Find out how to research salaries, work closely with recruiters, share your salary expectations, and consider your compensation package beyond just the numbers. Sho walks you through the three most important things to know before you even start the negotiation, with pointers on how to make a counteroffer that’s fair to you and competitive with the market. Along the way, Sho also tells what to say when you’re ready to ask for a raise.</p>",Course,2025-06-18 01:26 UTC,N/A,false,N/A,
Préparer son entretien d'embauche,"Vous avez réussi l'épreuve de la recherche d'offres et passé le barrage de la sélection du CV et de la lettre de motivation. L'entretien est la dernière étape avant l'emploi. Pour bien préparer votre entretien professionnel, il faut savoir à quoi vous attendre et connaître les attentes du recruteur. Cette formation d'Ingrid Pieronne s'adresse à toutes les personnes qui souhaitent optimiser leurs chances pour réussir leurs entretiens d'embauche. Vous y trouverez des conseils pour organiser votre préparation, mettre en avant vos compétences et montrer la concordance de votre candidature avec le poste proposé et l'entreprise. Quel que soit le poste recherché, le niveau de compétences, votre qualification ou votre âge, vous serez prêt à affronter tous types d'entretien. C'est en vous préparant correctement que vous allez pouvoir faire la différence face à tous les autres candidats.",Course,2019-02-25 06:26 UTC,N/A,false,N/A,
Generative AI for Small Businesses,"<p>Generative AI is a transformative tool that can elevate your small business to new heights. In this course, Laxmi Harikumar—a generative AI engineer and expert data scientist—shares her extensive knowledge on generative AI, including essential tools and strategies that small businesses can use. Find out how to unlock operational efficiency through the identification and automation of repetitive tasks and processes. Dive into the use of generative AI for monitoring and enhancing your business's financial health. Plus, go over effective generative AI strategies for optimizing marketing and branding efforts. In the concluding sections, learn how to leverage generative AI to expand your customer base, while always considering the ethical implications of employing such technology in the workplace. When you complete this course, you will possess the skills to ethically utilize generative AI for automations, content creation, business planning, website development, and financial management.</p>

<p>This course was created by <a href=""https://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.</p>                  <img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" alt=""Company logo for Madecraft; the letter M configured as part of a printing press"" width=""20%"" height=""20%"" />",Course,N/A,N/A,true,N/A,
Devenir une personne charismatique et influente,"Dans cette formation de Yann Piette, vous allez apprendre à développer votre charisme. Ainsi, vous verrez comment améliorer votre posture, poser votre regard et utiliser vos mains. Vous travaillerez également votre voix, à l'aide d'exercices faciles à réaliser chez soi, ainsi que la manière de vous tenir, d'occuper l'espace et de vous exprimer correctement et, surtout, au bon rythme. Tout cela vous demandera quelques efforts ainsi que des changements d'habitude, mais qui finiront par être payants. </br> Cette formation a été créée par Yann Piette. Nous sommes ravis d'héberger ce contenu sur notre plateforme.",Course,2024-07-25 23:30 UTC,N/A,false,N/A,
Copilot in Excel: Supercharge Your Productivity,"Imagine being able to create sophisticated Excel spreadsheets and charts—and quickly glean insights for your stakeholders—using nothing more than a simple chat prompt. With Microsoft 365 Copilot, which brings the power of large language models (LLMs) to your favorite productivity apps, this can be your reality <em>today</em>. Join Jess Stratton as she shows beginners and experts alike how to use Copilot to radically simplify common Excel workflows.",Course,2025-05-19 05:06 UTC,N/A,false,N/A,
Resume Makeover,"A resume is a key tool in your job search, so how can you really make it shine? In this course, career coach Jenny Foss gives you fresh guidance on how to make over your resume: homing in on the most important message, tailoring it to the roles you plan to apply to, getting the look and content right, and leveraging generative AI as a tool to build a stellar resume. Jenny guides you through how to refine and polish your resume to get through ATS and make a great impression with recruiters and hiring managers. Plus, she coaches you on particular resume challenges, like addressing gaps and effectively framing career pivots.",Course,N/A,N/A,true,N/A,
Négocier son salaire en tant que femme ,"De nombreuses études relèvent le fait que les femmes sont souvent moins bien payées que les hommes. Il s'agit d'un sujet auquel nous sommes collectivement attentifs depuis plusieurs années. Dans cette formation audio de Sandrine Dorbes, vous découvrirez des conseils pour savoir négocier votre salaire en tant que femme. Vous verrez comment préparer votre entretien et comment identifier les freins que vous vous imposez parfois. Puis, vous aborderez la question de l'attitude à adopter lors de l'entretien et, bien entendu, comment poursuivre vos négociations une fois terminé.",Course,2024-06-27 20:44 UTC,N/A,false,N/A,
Utiliser l’intelligence artificielle dans sa stratégie L&D,"Découvrez comment intégrer l'intelligence artificielle dans la stratégie Learning and Development (L&D). Cette formation explore les concepts de l'IA, ses applications dans les entreprises et les outils disponibles comme l'IA générative. Elle couvre l'analyse des besoins de formation, la conception de programmes, l'optimisation post-formation et la gestion administrative. Apprenez à personnaliser les parcours d'apprentissage, à créer des capsules de formation avec les experts internes, à utiliser le coaching virtuel, et à développer des communautés apprenantes grâce à l'IA.",Course,2024-11-07 20:01 UTC,N/A,false,N/A,
Adapter sa stratégie L&D pour les générations Y et Z,"Apprenez à adapter votre stratégie Learning and Development (L&D) aux attentes des générations Y et Z. Les entreprises doivent aujourd'hui relever le défi de comprendre et de satisfaire les besoins des jeunes talents. Découvrez comment capitaliser sur les technologies modernes, proposer des dispositifs L&D adaptés, et utiliser des outils comme l'apprentissage entre pairs, les communautés apprenantes, et la réalité virtuelle. Explorez également le tutorat, le reverse mentoring, et l'intégration de l'IA pour une stratégie L&D innovante et efficace.",Course,2024-10-29 19:40 UTC,N/A,false,N/A,
Driving Employee Engagement as a People Manager,"<p>While every company values its products, services, technologies, and intellectual property, the most important asset of most businesses is the people who work there.  Proactive, savvy people managers can make the difference between a workforce of engaged, motivated employees versus one peppered with lackluster, disinterested employees largely disconnected from their key responsibilities. In this course, corporate trainer Dana Brownlee offers specific, practical strategies that can help you engage and retain employees. Learn how to: diagnose and address individual team member engagement concerns (and distinguish between healthy and concerning disengagement drivers); challenge and reassess your own leadership expectations and behaviors; revisit team culture and adjust as needed; build connections proactively to encourage openness and willingness to share; tailor responses to individual circumstances; and identify and address poor job fit situations.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/succeeding-as-a-new-manager-professional-certificate-by-linkedin-learning?u=104"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2025-03-24 15:19 UTC,N/A,true,N/A,
Recovering from a Layoff,"Learn how to recover quickly from a layoff and find employment again. Brie Reynolds begins with the first steps to take after a layoff, including making a structured recovery plan. Then she covers topics such as filling the gap in your resume, networking after a layoff, searching and applying for jobs, and interviewing for a job after you've been laid off. By the end of this course, you'll be able to develop a personalized action plan that includes adding new experiences to your resume, strategically using your professional network, pinpointing the best open jobs, and tackling difficult interview questions with confidence.",Course,2025-02-27 00:26 UTC,N/A,false,N/A,
How to Speak So People Want to Listen,"Do you want to be an engaging speaker? In this audio-only course from How to Be Awesome at Your Job, international speaker Julian Treasure shares tactics and techniques that improve how you communicate. Julian stresses the importance of learning how to listen first. Understanding how your audience listens will improve your speaking. Julian shows you words to avoid and roadblocks to work around. If you’re more concerned about looking good or being right than you are about giving value to your audience, then your presentation won’t have any impact. Julian shows you ways to vary how you speak to keep your voice engaging. Change up your pace, tone, pitch, and volume to make your speaking more dynamic. You can also resonate your voice from your chest to sound more authoritative. Julian encourages you to keep your posture straight for more powerful speaking. Hunching prevents you from using your voice at its best. Julian concludes with the four C’s of good listening.     
<br><br>This course was created by Pete Mockaitis of <i><a href=""https://awesomeatyourjob.com/"" target=""_blank"">How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%""/>",Course,2025-02-27 09:59 UTC,N/A,true,N/A,
